id,code,station,active,stationType,nameDepartment,nameProvince,nameMunicipality,nameBasin,macroregion,latitude,longitude,altitude,owner,start,operator,photo,stationCategory,status
1045,A-1768,Calacoto,True,Convencional,La Paz,Pacajes,Calacoto,Desembocadura del Rio Mauri,Altiplano,-17.282847,-68.634583,3826.0,SENAMHI,1949-12-30,SENAMHI,stations/station/pksal4l59nxfyoy.jpeg,Meteorológica,Activo
1099,A-1668,Chuquiaguillo_LP,True,Convencional,La Paz,Murillo,Nuestra Señora de La Paz,Rio Boopy,Valles,-16.449722,-68.0925,4024.0,SENAMHI,1975-04-30,SENAMHI,,Meteorológica,Activo
1883,23-00133,Baures S.(GPRS),True,Automática telemétrica GPRS,Beni,Iténez,Baures,Rio Negro del Baures,Llanuras y Sabanas,-13.66348,-63.702487,150.0,SENASAG,,SENASAG - SENAMHI,,Meteorológica,Activo
413,A-1763,Campamento Espejos,False,Convencional,Santa Cruz,Andrés Ibáñez,El Torno,Rio Hondo,Chiquitania,-17.966667,-63.4,520.0,,1981-09-30,,,Meteorológica,Inactivo
435,A-1864,Buena Vista Ch,False,Convencional,Chuquisaca,Abel Iturralde,Mojocoya,Parte alta del Rio grande 7,Valles,-18.690278,-64.703889,2580.0,,1975-09-01,,,,Inactivo
1090,A-1668,Calamarca,False,Convencional,La Paz,Sara,Calamarca,Rio Kheto,Altiplano,-16.9,-68.116667,3954.0,,1953-01-01,,,,Inactivo
578,A-2164,Calamuchita TP,False,Convencional,Tarija,Abel Iturralde,Uriondo,Rio Camacho,Valles,-21.7,-64.633333,1680.0,,1975-04-01,,,,Inactivo
295,A-2265,San Jacinto_H (GPRS),True,Automática telemétrica GPRS,Tarija,Cercado Tarija,Tarija,Rio Guadalquivir,Valles,-21.600599,-64.7258,1897.0,VRHR - MMAyA,2018-11-25,SENAMHI,,Hidrológica,Activo
1153,A-1765,Colomi,True,Convencional,Cochabamba,Chapare,Colomi,Rio Espiritu Santo,Valles,-17.336111,-65.870833,3309.0,SENAMHI,1977-08-31,SENAMHI,stations/station/lety9hpygcar2s0.jpeg,Meteorológica,Activo
1350,A-1567,Guanay,False,Convencional,La Paz,Larecaja,Guanay,Rio Kaka,Yungas - Chapare,-15.503056,-67.885833,420.0,,1972-12-30,,stations/station/o9upsbpahl9iysc.png,,Inactivo
994,A-1668,Huaylipaya,True,Convencional,La Paz,Larecaja,Guanay,Rio Kaka,Yungas - Chapare,-16.0425,-68.000833,1314.0,SENAMHI,2008-11-29,SENAMHI,stations/station/0dtpro6ek9jyntb.png,Meteorológica,Activo
1694,A-1767,Salla (EuroClima),True,Convencional,La Paz,Aroma,Sica Sica,Rio Boopy,Altiplano,-17.169563,-67.606577,4005.0,HELVETAS,2021-05-25,Municipio - SENAMHI,stations/station/cxutbvennirkm9i.jpeg,Meteorológica,Activo
1377,A-1569,Mina Matilde_H,False,Convencional,La Paz,Camacho,Humanata,Desembocadura del Rio Suches,Altiplano,-15.416667,-69.133333,3107.0,,1975-11-30,,,Hidrológica,Inactivo
341,A-1565,Trinidad,False,Automática,Beni,Cercado Beni,Trinidad,Rio Ipurupuru,Llanuras y Sabanas,-14.8167,-64.900002,155.0,,2004-12-31,,,,Inactivo
815,A-1965,Potosi_ENFE,False,Convencional,Potosí,Tomás Frías,Potosí,Rio Tarapaya,Valles,-19.562894,-65.762171,3910.0,,1967-12-31,,,,Inactivo
1908,24-0017,Zona Sur - Cota cota,True,Convencional,La Paz,Murillo,Nuestra Señora de La Paz,Rio Boopy,Valles,-16.543552,-68.061532,,,2022-11-28,,,Meteorológica,Activo
1233,A-1965,Cachimayu,True,Convencional,Chuquisaca,Oropeza,Yotala,Rio Yotala,Valles,-19.1333,-65.2667,2400.0,SENAMHI,1978-09-30,SENAMHI,,Meteorológica,Activo
656,A-1965,Ckochas,True,Convencional,Potosí,José María Linares,Ckochas,Desembocadura del Rio Mataca,Valles,-19.633333,-65.266667,3337.0,,2016-07-31,,,Meteorológica,Activo
715,A-2164,Las Barrancas,False,Convencional,Tarija,Cercado Tarija,Tarija,Rio Guadalquivir,Valles,-21.513333,-64.744444,1924.0,,2006-11-30,,stations/station/7lkwh84scy7qc9q.png,,Inactivo
47,A-1569,Charazani (GPRS),True,Automática telemétrica GPRS,La Paz,Bautista Saavedra,Charazani,Rio Kaka,Yungas - Chapare,-15.1787404,-68.9958066,3650.0,Municipio,2012-04-28,,stations/station/y4eooupwvyve7my.jpeg,Meteorológica,Activo
755,A-1764,Rio Blanco,False,Convencional,Cochabamba,Carrasco,Entre Rios (Bulo Bulo),Rio Ichilo,Yungas - Chapare,-17.222222,-64.464722,260.0,SENAMHI,2007-10-30,SENAMHI,stations/station/yqa1jpew03w1pay.png,,Inactivo
716,A-2164,Saladito Centro,False,Convencional,Tarija,O'Connor,Entre Rios (La Moreta),Rio Salado,Chaco,-21.318889,-64.122778,857.0,,2005-09-30,,stations/station/zu2iftte521mqrq.png,,Inactivo
1180,A-1567,Caranavi,True,Convencional,La Paz,Caranavi,Caranavi,Rio Kaka,Yungas - Chapare,-15.834755,-67.573677,600.0,SENAMHI,1990-02-28,SENAMHI,stations/station/9pj1r1luwurlqas.jpeg,Meteorológica,Activo
1821,00071,Campo Grande Bermejo,True,Convencional,Tarija,Arce,Bermejo,Desembocadura de Rio Grande de Tarija,Valles,-22.78611,-64.31167,,SENAMHI,2021-10-30,SENAMHI,stations/station/a573g2wl8cvwlxf.jpeg,Meteorológica,Activo
1186,A-2163,Itau,True,Convencional,Tarija,Gran Chaco,Caraparí,Cabecera del Rio Itau,Chaco,-21.704166999999998,-63.868611,970.0,SENAMHI,1973-06-28,SENAMHI,stations/station/3tgsz84rh528gsj.png,Meteorológica,Activo
873,A-1767,Cadea Gobernacion AT,False,Convencional,Oruro,Cercado Oruro,Caracollo,Rio Queren Jahuira,Altiplano,-17.636538,-67.200428,3795.0,SENAMHI,2017-01-28,SENAMHI,,Meteorológica,Inactivo
56,A-1169,Cobija,True,Automática,Pando,,Cobija,Naciente del Rio Acre,Amazonia,-11.0333,-68.783302,233.0,,2004-12-30,,,Meteorológica,Mantenimiento
1418,A-1965,El Reloj,True,Convencional,Chuquisaca,Oropeza,Sucre,Rio Yotala,Valles,-19.038056,-65.243056,2840.0,SENAMHI,1994-09-30,SENAMHI,,Meteorológica,Activo
108,A-2165,Incahuasi (GPRS),True,Automática,Chuquisaca,Sur Cinti,Culpina,Parte Alta del Rio Inca Huasi,Valles,-20.799999,-64.900002,2965.0,PROFIN - Municipio,2014-12-07,,,Meteorológica,Activo
464,A-2065,Padcoyo_H,False,Convencional,Chuquisaca,Nor Cinti,San Lucas,Rio Churqui,Valles,-20.236111,-65.1575,3408.0,SENAMHI,1976-08-30,SENAMHI,,Meteorológica,Mantenimiento
1431,A-1964,Oronkota PTI,True,Convencional,Chuquisaca,Zudáñez,Villa Ricardo Mugia - Icla,Soroma,Valles,-19.583333,-64.833333,2043.0,SENAMHI,1976-07-31,SENAMHI,,Meteorológica,Activo
1206,A-1864,Mataral,True,Convencional,Santa Cruz,Florida,Pampa Grande,Rio Yapacanicito,Valles,-18.116667,-64.216667,1400.0,SENAMHI,1976-12-31,SENAMHI,,Meteorológica,Activo
1370,A-2065,Vitichi,True,Convencional,Potosí,Nor Chichas,Vitichi,Rio Vitichi,Valles,-20.215556,-65.493056,3012.0,SENAMHI,1943-07-29,SENAMHI,stations/station/735t9hp2j0vfuqd.png,Meteorológica,Activo
79,A-1668,El Alto,False,Automática,La Paz,Murillo,El Alto,RioTujsa Jahuira,Altiplano,-16.5,-68.166702,4024.0,,2004-12-29,,,Meteorológica,Inactivo
374,A-1768,Viacha_M (GPRS),True,Automática telemétrica GPRS,La Paz,Ingavi,Viacha,Parte Alta del Rio Pallina,Altiplano,-16.658328,-68.282102,3873.0,MMAyA (Ministerio de Medio Ambiente y Agua) - UGCK,2020-12-06,UGCK - SENAMHI,stations/station/vlk4h53ifm74jsg.jpeg,Meteorológica,Activo
870,A-1766,Misicuni (Autom),True,Convencional,Cochabamba,Quillacollo,Quillacollo,Rio Cotacajes,Valles,-17.090278,-66.327222,3793.0,,2014-03-30,,,,Inactivo
273,A-1662,San Javier,True,Automática,Santa Cruz,Ñuflo De Chávez,San Javier (Santa Cruz),Desembocadura del Rio San Julian,Chiquitania,-16.2714,-62.470798,538.0,,2004-12-31,,,Meteorológica,Activo
159,A-2265,Pasajes (GPRS),True,Automática telemétrica GPRS,Tarija,Avilés,Yunchará,Parte Alta Qda. Cobre,Altiplano,-21.746112,-65.088272,3608.0,Municipio,2015-11-04,Municipio,,Meteorológica,Mantenimiento
119,A-1866,La Violeta (Satelital),False,Satelital,Cochabamba,Quillacollo,Tiquipaya,Rio Caine,Valles,-17.347167,-66.231617,2616.0,SENAMHI,2011-08-10,,,Meteorológica,Inactivo
334,A-1965,Toma Ravelo_M (GPRS),True,Automática telemétrica GPRS,Chuquisaca,Oropeza,Sucre,Rio Ravelo,Valles,-18.93388,-65.459883,3074.0,VRHR - MMAyA,2018-11-28,,,Meteorológica,Activo
1622,A-1766,Parque Tunari SDC (Autom),False,Convencional,Cochabamba,Cercado Cochabamba,Cochabamba,Rio Caine,Valles,-17.349167,-66.156389,2813.0,,2017-11-29,,,Meteorológica,Inactivo
1417,A-1866,Llallagua,True,Convencional,Potosí,Rafael Bustillo,Llallagua,Rio San Pedro,Altiplano,-18.425,-66.560278,3805.0,SENAMHI,2002-04-29,SENAMHI,stations/station/1lj63npudrp4zkq.jpeg,Meteorológica,Activo
197,A-1766,Presa Escalerani_HM (SAT),True,Automática,Cochabamba,Quillacollo,Tiquipaya,Rio Cotacajes,Valles,-17.188101,-66.211098,4189.0,,,,,Meteorológica,Activo
2,A-1866,Acasio (GPRS),False,Automática telemétrica GPRS,Potosí,General Bilbao,Acasio,Rio Caine,Valles,-18.026422,-66.059418,3020.0,Municipio,2012-12-01,Municipio,stations/station/aj77mqq7wr64l0y.jpeg,Meteorológica,Mantenimiento
827,A-1567,Campamento Yucumo,False,Convencional,Beni,General José Balli,San Borja,Rio Rapulo,Amazonia,-15.154444,-67.033056,259.0,,2017-03-30,,stations/station/ths8vou1ltd4r4y.png,Meteorológica,Inactivo
1814,00064,Puente Aruma_H,True,Convencional,Tarija,O'Connor,Entre Rios (La Moreta),Rio Nacamiri,Chaco,-20.9156,-64.1114,636.0,CTN-P Pilcomayo,2014-12-03,SENAMHI,,Hidrológica,Activo
207,A-1958,Puerto Suarez,True,Automática,Santa Cruz,Germán Busch,Puerto Suarez,Puerto Suarez,Chiquitania,-18.978901,-57.819199,134.0,,2004-12-30,,,Meteorológica,Activo
629,A-1664,Puerto Villarroel (Autom),True,Convencional,Cochabamba,Carrasco,Puerto Villarroel,Parte Alta del Rio  Ivirgarsama,Yungas - Chapare,-16.837778,-64.7925,195.0,,2014-09-30,,,,Inactivo
58,A-1669,Copacabana LP,False,Automática,La Paz,Manco Kapac,Copacabana,Copacabana,Altiplano,-16.1833,-69.083298,3839.0,,,,,,Inactivo
1017,A-1965,Puente Sucre,True,Convencional,Chuquisaca,Oropeza,Yotala,Tuero Chico,Valles,-19.353333,-65.177222,2239.0,SENAMHI,1973-12-31,SENAMHI,,Meteorológica,Activo
1119,A-1568,Quiabaya,True,Convencional,La Paz,Larecaja,Quiabaya,Rio Kaka,Yungas - Chapare,-15.583333,-68.766667,1829.0,SENAMHI,1977-03-31,SENAMHI,,Meteorológica,Activo
932,A-2165,Ramadas PTI,False,Convencional,Potosí,Nor Chichas,Cotagaita,Rio Limeta,Valles,-21.083333,-65.633333,3220.0,SENAMHI,1977-05-28,SENAMHI,stations/station/ljxjsy0i7ju4ctj.png,Meteorológica,Mantenimiento
1356,A-1468,San José de Uchupiamonas,False,Convencional,La Paz,Arce,Ixiamas,Rio Tuhichi,Amazonia,-14.15,-68.116667,517.0,,,,,,Inactivo
1369,A-1865,Ravelo,True,Convencional,Potosí,Chayanta,Ravelo,Rio Ravelo,Valles,-18.804721999999998,-65.511944,3200.0,,1952-12-31,,,Meteorológica,Activo
196,A-2066,Presa Chalviri_HM (GPRS),True,Automática telemétrica GPRS,Potosí,Tomás Frías,Potosí,Rio Rosario,Valles,-19.6572,-65.696098,4424.0,,,,,Hidrológica,Activo
199,A-2165,Presa Huacata CA (SAT),False,Automática,Tarija,Méndez,Villa San Lorenzo,Rio Huacata,Valles,-21.244699,-64.8078,2799.0,,,,,Meteorológica,Inactivo
184,A-2065,Presa Paticonga_H (SAT),False,Automática,Chuquisaca,Nor Cinti,San Lucas,Rio San Lucas,Valles,-20.190001,-65.172501,3909.0,,,,,,Inactivo
1199,A-2164,San Andres,True,Convencional,Tarija,Cercado Tarija,Tarija,Rio Guadalquivir,Valles,-21.623333,-64.815,1987.0,SENAMHI,1975-06-30,SENAMHI,,Meteorológica,Activo
404,A-2164,San Jacinto Sud,True,Convencional,Tarija,Cercado Tarija,Tarija,Rio Guadalquivir,Valles,-21.610278,-64.72,1820.0,SENAMHI,1975-05-31,SENAMHI,,Meteorológica,Activo
310,A-1564,San Pedro - Río Victoria (GPRS),True,Automática telemétrica GPRS,Santa Cruz,Obispo Santistéban,San Pedro,Rio Brazo del Pirai,Chiquitania,-16.30089,-63.864958,205.0,PROFIN - ANAPO,2020-09-05,SENAMHI,,Meteorológica,Activo
1163,A-1766,La Violeta,True,Convencional,Cochabamba,Quillacollo,Tiquipaya,Rio Caine,Valles,-17.347222,-66.231667,2614.0,,1978-12-30,,stations/station/hqj9y2khz5xplv6.jpeg,Meteorológica,Activo
276,A-1861,San Jose de Chiquitos,True,Automática,Santa Cruz,Chiquitos,San José,Sin Nombre,Chiquitania,-17.832199,-60.744202,285.0,,2004-12-31,,,Meteorológica,Activo
1220,A-1764,San Juan Del Potrero,True,Convencional,Santa Cruz,Manuel María Cabal,Comarapa,Rio Yapacanicito,Valles,-17.963056,-64.289167,2000.0,,1985-12-31,,,Meteorológica,Activo
377,A-2264,Yacuiba,True,Automática,Tarija,Gran Chaco,Yacuiba,Qda. Yuquirenda,Chaco,-21.950001,-63.650002,646.0,,2004-12-31,,,Meteorológica,Activo
170,A-2066,Potosí (Satelital),False,Satelital,Potosí,Tomás Frías,Potosí,Rio Tarapaya,Valles,-19.56289,-65.76217,3820.0,SENAMHI,1999-12-30,,,Meteorológica,Inactivo
1392,A-1763,San Juan de Yapacaní,True,Convencional,Santa Cruz,Ichilo,Yapacaní,Rio Palacios,Chiquitania,-17.25,-63.833333,350.0,Cooperativa San Juan de Yapacani,1973-12-30,Cooperativa San Juan de Yapacani,,Meteorológica,Activo
1557,A-1767,Cabaña Forestal Oruro,True,Convencional,Oruro,Cercado Oruro,Oruro,Sepulturas,Altiplano,-17.974695,-67.080221,3706.0,SENAMHI,1987-04-25,SENAMHI,stations/station/mfqv1qepchg1a9s.png,Meteorológica,Activo
246,A-1467,Reyes,True,Automática,Beni,General José Balli,Reyes,Desembocadura del Rio Beni,Amazonia,-14.3042,-67.353302,182.0,NAABOL,2004-12-30,,,Meteorológica,Activo
248,A-1166,Riberalta,True,Automática,Beni,Vaca Diez,Riberalta,Desembocadura del Rio Beni,Amazonia,-11.0067,-66.076103,141.0,NAABOL,2004-12-30,,,Meteorológica,Activo
267,A-1365,San Joaquin,True,Automática,Beni,Mamoré,San Joaquín,Rio Matucare,Llanuras y Sabanas,-13.066117,-64.674228,139.0,NAABOL,2004-12-29,,,Meteorológica,Activo
271,A-1567,San Borja,True,Automática,Beni,General José Balli,San Borja,Rio Rapulo,Amazonia,-14.8583,-66.738602,193.0,NAABOL,2004-12-29,,,Meteorológica,Activo
1558,A-1567,Sara Ana,True,Convencional,La Paz,Sud Yungas,Palos Blancos,Parte Alta del Rio Beni,Yungas - Chapare,-15.458056,-67.466667,365.0,FiBL: Instituto de Investigaciones para la Agricultura,2009-02-27,FiBL: Instituto de Investigaciones para la Agricultura,,Meteorológica,Activo
311,A-1965,Sucre,True,Automática,Chuquisaca,Oropeza,Sucre,Rio Yotala,Valles,-19.016399,-65.2939,2904.0,,2004-12-31,,,Meteorológica,Activo
301,A-1669,San Pedro de Tiquina_M (GPRS),True,Automática telemétrica GPRS,La Paz,Manco Kapac,San Pedro de Tiquina,Sin Nombre,Altiplano,-16.219893,-68.854382,3830.0,MMAyA (Ministerio de Medio Ambiente y Agua) - UGCK,2019-11-26,UGCK - SENAMHI,stations/station/bp62c8b4n46g13b.jpeg,Meteorológica,Activo
1128,A-1668,Villa Copacabana,True,Convencional,La Paz,Murillo,Nuestra Señora de La Paz,Rio Boopy,Valles,-16.482778,-68.113889,3680.0,SENAMHI,1977-09-30,SENAMHI,,Meteorológica,Activo
636,A-1567,Suapi,False,Convencional,La Paz,Caranavi,Alto Beni,Parte Alta del Rio Beni,Yungas - Chapare,-15.510556,-67.450833,400.0,,,,stations/station/zs8vfwuqsbtv20b.png,,Inactivo
935,A-1965,Tarapaya,True,Convencional,Potosí,Tomás Frías,Potosí,Rio Tarapaya,Valles,-19.471667,-65.794722,3355.0,SENAMHI,1976-04-28,SENAMHI,stations/station/r3rwq4ba23imyc2.png,Meteorológica,Activo
936,A-1965,Tinguipaya,True,Convencional,Potosí,Tomás Frías,Tinguipaya,Rio Tinquipaya,Valles,-19.216667,-65.816667,3706.0,SENAMHI,1976-05-30,SENAMHI,stations/station/mu1vglq5k5ga8kr.png,Meteorológica,Activo
1130,A-1668,Vino Tinto,True,Convencional,La Paz,Murillo,Nuestra Señora de La Paz,Rio Boopy,Valles,-16.480833,-68.138889,3865.0,SENAMHI,1975-04-29,SENAMHI,stations/station/cxutt3su33ntq1e.png,Meteorológica,Activo
938,A-1965,Yocalla,True,Convencional,Potosí,Tomás Frías,Yocalla,Yocalla,Valles,-19.388889,-65.910278,3426.0,SENAMHI,1944-02-28,SENAMHI,stations/station/d63on6zj4es75ox.png,Meteorológica,Activo
987,A-2068,Abra de Napa,False,Convencional,Potosí,Arani,Llica,Amanzanada Desiertos,Altiplano,-20.55,-68.566667,3630.0,,1983-07-01,,,,Inactivo
1031,A-1964,Urriolagoytia,True,Convencional,Chuquisaca,Belisario Boeto,Villa Serrano,Rio Azero,Valles,-19.169722,-64.264167,1980.0,SENAMHI,1975-08-31,SENAMHI,,Meteorológica,Activo
1266,A-1668,Achacachi,False,Convencional,La Paz,Abaroa,Achacachi,Rio Jachcha Jahuira,Altiplano,-16.039167,-68.680556,3820.0,,1971-10-01,,,,Inactivo
1331,A-1668,Achachicala,False,Convencional,La Paz,Nicolás Suárez,Nuestra Señora de La Paz,Rio Boopy,Valles,-16.466667,-68.15,3700.0,,1975-06-01,,,,Inactivo
593,A-1965,Agua de Castilla_ENFE,False,Convencional,Potosí,Yacuma,Porco,Rio Calviri Mayu,Altiplano,-19.770278,-65.988333,4035.0,,1968-01-01,,,,Inactivo
1635,A-1766,Aguadas Misicuni,False,Convencional,Cochabamba,Quillacollo,Tiquipaya,Rio Cotacajes,Valles,-17.143333,-66.277778,3944.0,,2006-02-28,,,Meteorológica,Inactivo
1902,24-0012,Río Negro,True,Convencional,Tarija,Gran Chaco,Caraparí,Rio Negro 1,Chaco,-21.97262,-63.953808,,Volucliman,2023-12-30,Volucliman,,Meteorológica,Activo
1335,A-1668,Aguallamaya,False,Convencional,La Paz,Antonio Quijarro,La (Marka) San Andrés de Machaca,Nacientes del Rio Desaguadero,Altiplano,-16.819722,-68.901111,3803.0,,1974-12-01,,,,Inactivo
